id,a0,a1,a2,a3,a4
0, 13.5004,297.111,35.8713,0,-1,0
0, 12.6364,41.6295,33.1856,0,-1,0
0, 13.7592,215.255,39.7341,0,-1,0
0, 13.7483,351.411,37.3243,0,-1,0
0, 14.6129,244.507,42.9395,0,-1,0
0, 13.7185,7.15816,39.9388,0,-1,0
0, 12.232,332.391,33.9284,0,-1,0
0, 13.7147,71.0008,32.5857,0,-1,0
0, 13.3077,76.7522,38.9263,0,-1,0
0, 12.4737,156.448,37.1184,0,-1,0
0, 13.7811,237.335,31.246,0,-1,0
0, 12.1155,345.172,38.4941,0,-1,0
0, 13.0714,313.092,32.4464,0,-1,0
0, 13.7798,251.689,37.6016,0,-1,0
0, 13.5517,49.8846,32.9698,0,-1,0
0, 11.8,39.5396,33.025,0,-1,0
0, 13.5,250.566,35,0,-1,0
0, 13.4106,132.886,43.0151,0,-1,0
0, 13,94.2099,32.5,0,-1,0
0, 12.8182,54.7433,33.2045,0,-1,0
0, 13.2857,177.842,31.6429,0,-1,0
0, 14.156,148.474,35.4256,0,-1,0
0, 15.9474,56.08,34.1118,0,-1,0
0, 13.5517,149.007,31.9698,0,-1,0
0, 13.8571,25.9259,31.006,0,-1,0
0, 13.4516,103.703,30.9073,0,-1,0
0, 12.1579,126.946,31.0132,0,-1,0
0, 12.6522,276.845,37.2717,0,-1,0
0, 13.7368,82.9044,31.7961,0,-1,0
0, 13.8946,322.735,32.6719,0,-1,0
0, 13.4348,324.866,31.6576,0,-1,0
0, 13.6667,31.0439,32.0417,0,-1,0
0, 13.5144,279.339,36.9941,0,-1,0
0, 13.9377,268.301,42.871,0,-1,0
0, 14.3996,199.225,34.6746,0,-1,0
0, 13,234.381,30.4167,0,-1,0
0, 14.1111,269.745,31.6713,0,-1,0
0, 13.9262,265.221,34.4622,0,-1,0
0, 12.3,186.119,31.025,0,-1,0
0, 13.1053,130.656,41.6447,0,-1,0
0, 14.1429,82.9574,31.7857,0,-1,0
0, 13.5602,218.878,47.6233,0,-1,0
0, 13.8,105.983,45.575,0,-1,0
0, 12,145.341,31,0,-1,0
0, 12,81.6385,32,0,-1,0
0, 16.2988,277.653,42.6968,0,-1,0
0, 13.1143,284.1,33.6036,0,-1,0
0, 13.7173,121.222,33.5651,0,-1,0
0, 13.4425,75.8259,31.9995,0,-1,0
0, 14.52,128.565,32.205,0,-1,0
0, 13.4571,245.854,36.0322,0,-1,0
0, 14.4,167.579,34.6,0,-1,0
0, 13.6,202.059,32.0667,0,-1,0
0, 12.1915,107.854,38.0239,0,-1,0
0, 13.7368,253.221,31.7961,0,-1,0
0, 13.795,187.963,35.1759,0,-1,0
0, 13.6957,153.181,39.9185,0,-1,0
0, 14.75,173.248,33.5208,0,-1,0
0, 13.3448,108.317,30.7285,0,-1,0
0, 13.9412,229.008,42.7794,0,-1,0
0, 13.1143,133.329,38.6036,0,-1,0
0, 14.7143,69.0941,33.1488,0,-1,0
0, 14.0296,73.0774,32.7082,0,-1,0
0, 12.6138,324.415,32.7845,0,-1,0
0, 14.4,93.0404,32.6,0,-1,0
0, 14,231.055,33.3333,0,-1,0
0, 11.2703,12.8011,31.2737,0,-1,0
0, 14,230.757,31,0,-1,0
0, 13.7688,133.056,32.7476,0,-1,0
0, 12.913,82.4454,43.5326,0,-1,0
0, 13.5681,29.355,34.3939,0,-1,0
0, 13.043,80.8122,36.7061,0,-1,0
0, 14.7013,199.43,39.4122,0,-1,0
0, 13,325.371,34.375,0,-1,0
0, 11.9091,22.9373,32.0038,0,-1,0
0, 13.2203,25.4138,36.3611,0,-1,0
0, 13.9565,178.869,31.2228,0,-1,0
0, 14.4209,33.8336,39.3425,0,-1,0
0, 14.7523,354.062,35.5241,0,-1,0
0, 14.2646,281.105,34.6235,0,-1,0
0, 12.7714,274.329,34.2893,0,-1,0
0, 13.1749,280.398,31.734,0,-1,0
0, 13.3636,214.104,31.5682,0,-1,0
0, 14.1037,317.525,41.24,0,-1,0
0, 12.4545,358.226,30.0947,0,-1,0
0, 14,303.683,37,0,-1,0
0, 12.7928,305.107,33.401,0,-1,0
0, 17.8796,240.838,43.7808,0,-1,0
0, 12.7907,199.559,33.3299,0,-1,0
0, 13.809,6.96087,31.4502,0,-1,0
0, 12.9309,256.539,33.5012,0,-1,0
0, 11.625,281.424,35.0938,0,-1,0
0, 12.4,345.312,32.0667,0,-1,0
0, 12.7714,141.292,32.2893,0,-1,0
0, 12.099,214.895,36.0047,0,-1,0
0, 13.3256,293.805,36.0494,0,-1,0
